Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
___________________________________________________________________________________________________
Pavarde425     Vardas425      8    8    8    4    4    4      4.96                5.60                
Pavarde865     Vardas865      3    4    7    10   8    4      4.96                5.20                
Pavarde45      Vardas45       9    2    5    6    10   4      4.96                4.80                
Pavarde547     Vardas547      3    9    2    2    1    6      4.96                4.40                
Pavarde104     Vardas104      5    1    1    6    4    6      4.96                5.20                
Pavarde215     Vardas215      1    5    2    8    8    5      4.92                5.00                
Pavarde492     Vardas492      4    2    6    6    6    5      4.92                5.40                
Pavarde504     Vardas504      1    1    9    3    10   5      4.92                4.20                
Pavarde792     Vardas792      1    9    2    2    10   5      4.92                3.80                
Pavarde791     Vardas791      4    8    9    2    1    5      4.92                4.60                
Pavarde741     Vardas741      5    5    8    3    10   4      4.88                4.40                
Pavarde652     Vardas652      5    2    4    1    4    6      4.88                5.20                
Pavarde227     Vardas227      2    6    10   10   3    4      4.88                4.80                
Pavarde471     Vardas471      3    9    5    10   4    4      4.88                4.40                
Pavarde908     Vardas908      4    5    8    4    2    5      4.84                4.60                
Pavarde559     Vardas559      3    2    7    10   1    5      4.84                4.20                
Pavarde209     Vardas209      9    2    6    4    2    5      4.84                4.60                
Pavarde809     Vardas809      4    5    1    3    10   5      4.84                4.60                
Pavarde580     Vardas580      6    2    5    6    4    5      4.84                5.00                
Pavarde397     Vardas397      5    8    5    5    7    4      4.80                4.40                
Pavarde287     Vardas287      7    8    4    2    9    4      4.80                5.20                
Pavarde279     Vardas279      4    6    6    9    5    4      4.80                4.80                
Pavarde577     Vardas577      5    5    1    1    3    6      4.80                4.80                
Pavarde974     Vardas974      6    7    10   4    10   3      4.76                4.60                
Pavarde784     Vardas784      9    6    9    9    4    3      4.76                5.40                
Pavarde682     Vardas682      9    9    8    1    10   3      4.76                5.40                
Pavarde997     Vardas997      3    5    1    3    10   5      4.76                4.20                
Pavarde191     Vardas191      6    5    4    4    3    5      4.76                4.60                
Pavarde318     Vardas318      6    2    1    5    8    5      4.76                5.00                
Pavarde659     Vardas659      10   9    10   7    8    2      4.72                4.80                
Pavarde136     Vardas136      9    9    8    10   8    2      4.72                4.80                
Pavarde363     Vardas363      8    5    9    4    3    4      4.72                4.40                
Pavarde281     Vardas281      10   5    5    6    3    4      4.72                4.40                
