Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
___________________________________________________________________________________________________
Pavarde13      Vardas13       10   10   4    8    8    10     9.20                9.20                
Pavarde22      Vardas22       8    6    10   5    7    10     8.88                8.80                
Pavarde76      Vardas76       6    9    7    4    8    10     8.72                8.80                
Pavarde40      Vardas40       8    8    9    7    7    9      8.52                8.60                
Pavarde87      Vardas87       7    8    5    2    9    10     8.48                8.80                
Pavarde1       Vardas1        8    7    7    8    8    9      8.44                8.60                
Pavarde55      Vardas55       5    4    7    4    10   10     8.40                8.00                
Pavarde48      Vardas48       6    7    6    9    8    9      8.28                8.20                
Pavarde17      Vardas17       3    10   9    5    8    9      8.20                8.60                
Pavarde9       Vardas9        5    7    8    4    9    9      8.04                8.20                
Pavarde66      Vardas66       6    5    9    8    5    9      8.04                7.80                
Pavarde81      Vardas81       9    4    6    7    6    9      7.96                7.80                
Pavarde63      Vardas63       4    10   2    7    1    10     7.92                7.60                
Pavarde18      Vardas18       3    6    8    5    1    10     7.84                8.00                
Pavarde93      Vardas93       9    2    4    9    6    9      7.80                7.80                
Pavarde20      Vardas20       1    8    8    2    10   9      7.72                8.60                
Pavarde34      Vardas34       10   8    8    6    4    8      7.68                8.00                
Pavarde4       Vardas4        2    10   7    3    6    9      7.64                7.80                
Pavarde58      Vardas58       8    6    9    5    6    8      7.52                7.20                
Pavarde67      Vardas67       1    8    6    8    3    9      7.48                7.80                
Pavarde38      Vardas38       8    6    7    9    10   7      7.40                7.40                
Pavarde28      Vardas28       1    4    4    7    1    10     7.36                7.60                
Pavarde57      Vardas57       4    8    9    7    2    8      7.20                7.60                
Pavarde11      Vardas11       5    1    2    1    6    10     7.20                6.80                
Pavarde36      Vardas36       7    4    6    7    6    8      7.20                7.20                
Pavarde31      Vardas31       2    1    6    8    5    9      7.16                7.40                
Pavarde39      Vardas39       3    3    2    1    4    10     7.04                7.20                
Pavarde78      Vardas78       7    8    2    4    7    8      7.04                7.60                
Pavarde6       Vardas6        2    1    4    4    2    10     7.04                6.80                
Pavarde99      Vardas99       3    9    9    7    7    7      7.00                7.00                
Pavarde59      Vardas59       7    2    2    7    2    9      7.00                6.20                
Pavarde100     Vardas100      9    1    4    10   9    7      6.84                7.80                
Pavarde8       Vardas8        4    5    6    9    1    8      6.80                6.80                
Pavarde90      Vardas90       4    9    1    10   1    8      6.80                6.40                
Pavarde80      Vardas80       4    10   10   7    1    7      6.76                7.00                
Pavarde45      Vardas45       6    6    10   4    6    7      6.76                6.60                
Pavarde83      Vardas83       3    2    9    1    1    9      6.68                6.20                
Pavarde77      Vardas77       3    10   5    2    3    8      6.64                6.00                
Pavarde79      Vardas79       3    7    1    9    10   7      6.60                7.00                
Pavarde51      Vardas51       1    5    10   9    4    7      6.52                6.20                
Pavarde97      Vardas97       4    9    9    4    10   6      6.48                7.20                
Pavarde54      Vardas54       3    8    2    2    6    8      6.48                6.00                
Pavarde35      Vardas35       5    2    1    1    3    9      6.36                6.20                
Pavarde94      Vardas94       8    9    3    7    4    6      6.08                6.40                
Pavarde72      Vardas72       1    6    3    3    10   7      6.04                5.40                
Pavarde86      Vardas86       8    4    8    2    1    7      6.04                5.80                
Pavarde46      Vardas46       4    10   2    1    5    7      5.96                5.80                
Pavarde52      Vardas52       10   5    7    6    1    6      5.92                6.00                
Pavarde5       Vardas5        5    4    6    8    6    6      5.92                6.00                
Pavarde98      Vardas98       3    4    9    1    3    7      5.80                5.40                
Pavarde61      Vardas61       2    9    9    4    3    6      5.76                5.20                
Pavarde41      Vardas41       1    2    9    1    6    7      5.72                5.00                
Pavarde89      Vardas89       10   3    9    9    10   4      5.68                6.00                
Pavarde62      Vardas62       2    5    6    7    6    6      5.68                6.00                
Pavarde73      Vardas73       5    3    7    9    1    6      5.60                5.60                
Pavarde16      Vardas16       5    6    10   8    10   4      5.52                5.60                
Pavarde26      Vardas26       10   6    8    9    5    4      5.44                5.60                
Pavarde70      Vardas70       5    7    3    8    7    5      5.40                5.80                
Pavarde74      Vardas74       8    1    10   8    3    5      5.40                6.20                
Pavarde30      Vardas30       4    6    8    9    10   4      5.36                5.60                
Pavarde33      Vardas33       10   5    5    1    1    6      5.36                5.60                
Pavarde21      Vardas21       4    10   10   8    4    4      5.28                5.60                
Pavarde15      Vardas15       9    7    8    7    4    4      5.20                5.20                
