Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
__________________________________________________________
Vardas1        Pavarde1       8    7    7    8    8    9       
Vardas2        Pavarde2       3    3    10   1    1    1       
Vardas3        Pavarde3       1    6    10   6    10   2       
Vardas4        Pavarde4       2    10   7    3    6    9       
Vardas5        Pavarde5       5    4    6    8    6    6       
Vardas6        Pavarde6       2    1    4    4    2    10      
Vardas7        Pavarde7       1    2    6    2    5    2       
Vardas8        Pavarde8       4    5    6    9    1    8       
Vardas9        Pavarde9       5    7    8    4    9    9       
Vardas10       Pavarde10      4    3    2    6    6    4       
Vardas11       Pavarde11      5    1    2    1    6    10      
Vardas12       Pavarde12      7    5    5    5    4    1       
Vardas13       Pavarde13      10   10   4    8    8    10      
Vardas14       Pavarde14      4    5    3    3    1    2       
Vardas15       Pavarde15      9    7    8    7    4    4       
Vardas16       Pavarde16      5    6    10   8    10   4       
Vardas17       Pavarde17      3    10   9    5    8    9       
Vardas18       Pavarde18      3    6    8    5    1    10      
Vardas19       Pavarde19      2    5    3    1    6    6       
Vardas20       Pavarde20      1    8    8    2    10   9       
Vardas21       Pavarde21      4    10   10   8    4    4       
Vardas22       Pavarde22      8    6    10   5    7    10      
Vardas23       Pavarde23      5    5    3    9    4    3       
Vardas24       Pavarde24      4    7    2    9    1    2       
Vardas25       Pavarde25      7    9    4    10   2    3       
Vardas26       Pavarde26      10   6    8    9    5    4       
Vardas27       Pavarde27      9    8    4    9    7    3       
Vardas28       Pavarde28      1    4    4    7    1    10      
Vardas29       Pavarde29      7    2    6    5    2    1       
Vardas30       Pavarde30      4    6    8    9    10   4       
Vardas31       Pavarde31      2    1    6    8    5    9       
Vardas32       Pavarde32      5    8    2    6    8    1       
Vardas33       Pavarde33      10   5    5    1    1    6       
Vardas34       Pavarde34      10   8    8    6    4    8       
Vardas35       Pavarde35      5    2    1    1    3    9       
Vardas36       Pavarde36      7    4    6    7    6    8       
Vardas37       Pavarde37      7    1    5    3    1    5       
Vardas38       Pavarde38      8    6    7    9    10   7       
Vardas39       Pavarde39      3    3    2    1    4    10      
Vardas40       Pavarde40      8    8    9    7    7    9       
Vardas41       Pavarde41      1    2    9    1    6    7       
Vardas42       Pavarde42      5    9    8    10   7    2       
Vardas43       Pavarde43      4    1    4    7    7    2       
Vardas44       Pavarde44      1    7    8    9    6    2       
Vardas45       Pavarde45      6    6    10   4    6    7       
Vardas46       Pavarde46      4    10   2    1    5    7       
Vardas47       Pavarde47      9    8    6    5    3    3       
Vardas48       Pavarde48      6    7    6    9    8    9       
Vardas49       Pavarde49      10   2    7    5    3    3       
Vardas50       Pavarde50      9    4    6    1    3    4       
Vardas51       Pavarde51      1    5    10   9    4    7       
Vardas52       Pavarde52      10   5    7    6    1    6       
Vardas53       Pavarde53      10   7    4    5    9    3       
Vardas54       Pavarde54      3    8    2    2    6    8       
Vardas55       Pavarde55      5    4    7    4    10   10      
Vardas56       Pavarde56      6    7    1    3    10   2       
Vardas57       Pavarde57      4    8    9    7    2    8       
Vardas58       Pavarde58      8    6    9    5    6    8       
Vardas59       Pavarde59      7    2    2    7    2    9       
Vardas60       Pavarde60      2    1    7    9    3    3       
Vardas61       Pavarde61      2    9    9    4    3    6       
Vardas62       Pavarde62      2    5    6    7    6    6       
Vardas63       Pavarde63      4    10   2    7    1    10      
Vardas64       Pavarde64      9    6    3    1    2    2       
Vardas65       Pavarde65      3    7    5    2    3    2       
Vardas66       Pavarde66      6    5    9    8    5    9       
Vardas67       Pavarde67      1    8    6    8    3    9       
Vardas68       Pavarde68      9    2    4    9    2    2       
Vardas69       Pavarde69      8    8    9    3    1    2       
Vardas70       Pavarde70      5    7    3    8    7    5       
Vardas71       Pavarde71      3    4    6    7    6    3       
Vardas72       Pavarde72      1    6    3    3    10   7       
Vardas73       Pavarde73      5    3    7    9    1    6       
Vardas74       Pavarde74      8    1    10   8    3    5       
Vardas75       Pavarde75      5    10   1    4    10   3       
Vardas76       Pavarde76      6    9    7    4    8    10      
Vardas77       Pavarde77      3    10   5    2    3    8       
Vardas78       Pavarde78      7    8    2    4    7    8       
Vardas79       Pavarde79      3    7    1    9    10   7       
Vardas80       Pavarde80      4    10   10   7    1    7       
Vardas81       Pavarde81      9    4    6    7    6    9       
Vardas82       Pavarde82      9    6    4    2    8    2       
Vardas83       Pavarde83      3    2    9    1    1    9       
Vardas84       Pavarde84      10   3    6    3    6    2       
Vardas85       Pavarde85      9    2    10   2    2    3       
Vardas86       Pavarde86      8    4    8    2    1    7       
Vardas87       Pavarde87      7    8    5    2    9    10      
Vardas88       Pavarde88      5    8    8    7    7    2       
Vardas89       Pavarde89      10   3    9    9    10   4       
Vardas90       Pavarde90      4    9    1    10   1    8       
Vardas91       Pavarde91      2    9    7    4    9    4       
Vardas92       Pavarde92      3    2    3    8    2    2       
Vardas93       Pavarde93      9    2    4    9    6    9       
Vardas94       Pavarde94      8    9    3    7    4    6       
Vardas95       Pavarde95      8    1    3    6    6    4       
Vardas96       Pavarde96      5    2    10   5    3    3       
Vardas97       Pavarde97      4    9    9    4    10   6       
Vardas98       Pavarde98      3    4    9    1    3    7       
Vardas99       Pavarde99      3    9    9    7    7    7       
Vardas100      Pavarde100     9    1    4    10   9    7       
