Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
Pavarde10      Vardas10       5    6    8    10   10   3      4.92                5.00                
Pavarde68      Vardas68       1    1    1    2    4    7      4.92                4.60                
Pavarde39      Vardas39       1    8    9    10   10   3      4.84                5.40                
Pavarde95      Vardas95       1    3    6    6    7    5      4.84                5.40                
Pavarde75      Vardas75       1    3    5    5    9    5      4.84                5.00                
Pavarde11      Vardas11       2    3    7    8    10   4      4.80                5.20                
Pavarde30      Vardas30       2    7    9    9    10   3      4.76                5.40                
Pavarde51      Vardas51       2    2    3    7    7    5      4.68                4.20                
Pavarde17      Vardas17       2    2    3    4    10   5      4.68                4.20                
Pavarde64      Vardas64       2    2    3    6    7    5      4.60                4.20                
Pavarde100     Vardas100      1    3    4    5    7    5      4.60                4.60                
Pavarde48      Vardas48       3    3    5    8    8    4      4.56                4.40                
Pavarde34      Vardas34       3    4    5    6    9    4      4.56                4.40                
Pavarde76      Vardas76       1    4    7    7    7    4      4.48                5.20                
Pavarde62      Vardas62       1    1    5    9    10   4      4.48                4.40                
Pavarde18      Vardas18       1    1    7    8    9    4      4.48                5.20                
Pavarde67      Vardas67       2    3    5    6    8    4      4.32                4.40                
Pavarde44      Vardas44       3    4    7    8    9    3      4.28                4.60                
Pavarde81      Vardas81       1    4    6    10   10   3      4.28                4.20                
Pavarde25      Vardas25       1    1    6    7    8    4      4.24                4.80                
Pavarde72      Vardas72       2    3    6    9    9    3      4.12                4.20                
Pavarde71      Vardas71       2    3    4    6    6    4      4.08                4.00                
Pavarde92      Vardas92       2    4    5    8    9    3      4.04                3.80                
Pavarde57      Vardas57       4    5    7    9    10   2      4.00                4.00                
Pavarde80      Vardas80       1    3    4    8    10   3      3.88                3.40                
Pavarde32      Vardas32       4    5    6    8    10   2      3.84                3.60                
Pavarde74      Vardas74       1    4    5    6    9    3      3.80                3.80                
Pavarde14      Vardas14       4    4    6    7    10   2      3.68                3.60                
Pavarde23      Vardas23       3    3    6    8    10   2      3.60                3.60                
Pavarde50      Vardas50       1    6    6    7    10   2      3.60                3.60                
Pavarde46      Vardas46       1    3    4    6    7    3      3.48                3.40                
Pavarde69      Vardas69       1    3    4    6    7    3      3.48                3.40                
Pavarde66      Vardas66       2    2    7    7    8    2      3.28                4.00                
Pavarde83      Vardas83       1    3    3    4    5    3      3.08                3.00                
Pavarde88      Vardas88       1    1    2    4    8    3      3.08                2.60                
Pavarde33      Vardas33       1    7    7    7    9    1      3.08                3.40                
Pavarde47      Vardas47       3    3    7    9    9    1      3.08                3.40                
Pavarde4       Vardas4        1    5    7    8    9    1      3.00                3.40                
Pavarde84      Vardas84       1    2    3    7    9    2      2.96                2.40                
Pavarde19      Vardas19       1    3    3    5    8    2      2.80                2.40                
Pavarde8       Vardas8        1    1    3    5    9    2      2.72                2.40                
Pavarde91      Vardas91       3    3    4    6    10   1      2.68                2.20                
Pavarde52      Vardas52       2    4    5    7    7    1      2.60                2.60                
Pavarde26      Vardas26       1    5    5    6    7    1      2.52                2.60                
Pavarde63      Vardas63       1    1    1    1    3    3      2.36                2.20                
Pavarde98      Vardas98       1    3    3    4    8    1      2.12                1.80                

