Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
__________________________________________________________
Vardas1        Pavarde1       3    8    2    1    5    10      
Vardas2        Pavarde2       9    2    1    10   1    6       
Vardas3        Pavarde3       3    8    8    6    6    1       
Vardas4        Pavarde4       7    3    1    7    8    10      
Vardas5        Pavarde5       1    1    1    9    1    6       
Vardas6        Pavarde6       9    3    5    1    6    10      
Vardas7        Pavarde7       4    6    10   1    7    8       
Vardas8        Pavarde8       8    3    6    7    6    3       
Vardas9        Pavarde9       5    3    1    9    2    10      
Vardas10       Pavarde10      10   4    9    9    4    9       
Vardas11       Pavarde11      1    10   7    4    5    1       
Vardas12       Pavarde12      10   2    2    10   8    6       
Vardas13       Pavarde13      2    2    7    5    7    1       
Vardas14       Pavarde14      5    5    6    4    2    8       
Vardas15       Pavarde15      3    9    9    4    4    8       
Vardas16       Pavarde16      10   10   9    8    10   9       
Vardas17       Pavarde17      1    1    4    7    9    8       
Vardas18       Pavarde18      3    10   8    2    8    3       
Vardas19       Pavarde19      9    9    1    3    5    8       
Vardas20       Pavarde20      5    8    5    4    8    8       
Vardas21       Pavarde21      8    4    4    2    5    5       
Vardas22       Pavarde22      2    1    6    5    3    1       
Vardas23       Pavarde23      8    4    9    6    9    4       
Vardas24       Pavarde24      10   6    3    4    10   8       
Vardas25       Pavarde25      1    3    3    8    9    6       
Vardas26       Pavarde26      3    5    6    1    8    1       
Vardas27       Pavarde27      6    5    3    8    7    3       
Vardas28       Pavarde28      1    10   4    2    8    6       
Vardas29       Pavarde29      5    2    7    4    9    8       
Vardas30       Pavarde30      1    10   3    3    1    6       
Vardas31       Pavarde31      7    7    2    8    9    9       
Vardas32       Pavarde32      8    8    3    8    6    6       
Vardas33       Pavarde33      8    1    2    8    2    10      
Vardas34       Pavarde34      8    1    10   8    1    9       
Vardas35       Pavarde35      9    1    10   6    10   2       
Vardas36       Pavarde36      6    1    6    10   6    7       
Vardas37       Pavarde37      5    4    3    4    9    10      
Vardas38       Pavarde38      4    6    4    1    9    2       
Vardas39       Pavarde39      4    1    7    9    2    9       
Vardas40       Pavarde40      3    4    7    5    4    10      
Vardas41       Pavarde41      5    8    8    6    6    3       
Vardas42       Pavarde42      3    2    3    8    5    6       
Vardas43       Pavarde43      5    5    1    3    6    2       
Vardas44       Pavarde44      7    1    10   5    7    2       
Vardas45       Pavarde45      4    4    4    9    3    6       
Vardas46       Pavarde46      5    6    10   6    1    8       
Vardas47       Pavarde47      8    9    5    8    3    10      
Vardas48       Pavarde48      4    3    9    4    9    7       
Vardas49       Pavarde49      10   9    5    2    2    10      
Vardas50       Pavarde50      6    5    7    9    10   1       
Vardas51       Pavarde51      3    7    9    9    7    8       
Vardas52       Pavarde52      6    2    7    6    7    1       
Vardas53       Pavarde53      2    6    9    1    5    8       
Vardas54       Pavarde54      4    3    8    8    3    3       
Vardas55       Pavarde55      2    2    3    9    8    7       
Vardas56       Pavarde56      9    3    6    4    5    10      
Vardas57       Pavarde57      1    9    7    9    9    8       
Vardas58       Pavarde58      5    6    7    7    2    2       
Vardas59       Pavarde59      7    7    7    7    9    4       
Vardas60       Pavarde60      9    5    6    1    1    6       
Vardas61       Pavarde61      7    2    1    10   7    10      
Vardas62       Pavarde62      5    6    3    10   6    2       
Vardas63       Pavarde63      7    6    6    10   8    4       
Vardas64       Pavarde64      1    7    6    4    5    10      
Vardas65       Pavarde65      10   7    1    7    6    2       
Vardas66       Pavarde66      10   5    3    2    4    9       
Vardas67       Pavarde67      3    1    5    10   1    5       
Vardas68       Pavarde68      10   7    10   7    2    8       
Vardas69       Pavarde69      8    1    1    4    1    9       
Vardas70       Pavarde70      3    10   8    3    1    10      
Vardas71       Pavarde71      8    2    10   4    2    7       
Vardas72       Pavarde72      5    6    6    2    6    6       
Vardas73       Pavarde73      2    8    9    7    10   3       
Vardas74       Pavarde74      3    3    4    2    9    10      
Vardas75       Pavarde75      9    2    4    4    4    6       
Vardas76       Pavarde76      9    9    4    9    4    6       
Vardas77       Pavarde77      2    5    5    6    4    1       
Vardas78       Pavarde78      10   2    1    8    10   6       
Vardas79       Pavarde79      2    5    4    8    2    3       
Vardas80       Pavarde80      3    4    2    3    4    9       
Vardas81       Pavarde81      8    6    1    2    7    2       
Vardas82       Pavarde82      2    5    3    8    4    1       
Vardas83       Pavarde83      10   1    7    5    8    10      
Vardas84       Pavarde84      7    2    6    5    3    6       
Vardas85       Pavarde85      9    10   1    9    4    8       
Vardas86       Pavarde86      9    2    10   2    5    1       
Vardas87       Pavarde87      2    3    6    8    10   2       
Vardas88       Pavarde88      2    8    9    10   4    9       
Vardas89       Pavarde89      8    10   4    4    1    9       
Vardas90       Pavarde90      3    9    4    6    7    4       
Vardas91       Pavarde91      8    2    5    4    7    4       
Vardas92       Pavarde92      7    7    6    2    2    10      
Vardas93       Pavarde93      3    10   4    5    2    3       
Vardas94       Pavarde94      7    9    1    3    8    5       
Vardas95       Pavarde95      10   9    8    2    7    7       
Vardas96       Pavarde96      3    9    7    7    10   3       
Vardas97       Pavarde97      2    3    7    8    1    5       
Vardas98       Pavarde98      7    7    6    8    10   5       
Vardas99       Pavarde99      3    2    5    6    10   9       
Vardas100      Pavarde100     3    5    5    7    10   9       
Vardas101      Pavarde101     9    9    1    9    9    2       
Vardas102      Pavarde102     7    6    9    8    1    1       
Vardas103      Pavarde103     1    6    8    1    10   6       
Vardas104      Pavarde104     2    7    2    6    2    5       
Vardas105      Pavarde105     2    4    4    6    9    7       
Vardas106      Pavarde106     2    6    8    4    7    5       
Vardas107      Pavarde107     9    10   5    9    5    9       
Vardas108      Pavarde108     9    7    3    7    5    7       
Vardas109      Pavarde109     8    2    5    10   7    3       
Vardas110      Pavarde110     6    5    5    4    1    3       
Vardas111      Pavarde111     8    5    8    2    7    8       
Vardas112      Pavarde112     3    8    6    7    3    4       
Vardas113      Pavarde113     9    6    10   5    6    2       
Vardas114      Pavarde114     6    5    6    6    1    5       
Vardas115      Pavarde115     10   9    4    8    2    7       
Vardas116      Pavarde116     6    10   9    9    10   2       
Vardas117      Pavarde117     7    7    5    10   1    1       
Vardas118      Pavarde118     5    6    7    5    1    6       
Vardas119      Pavarde119     3    4    1    6    5    4       
Vardas120      Pavarde120     10   6    7    6    4    1       
Vardas121      Pavarde121     6    1    10   8    3    6       
Vardas122      Pavarde122     3    2    6    9    5    1       
Vardas123      Pavarde123     8    10   1    8    2    10      
Vardas124      Pavarde124     4    9    10   1    7    1       
Vardas125      Pavarde125     10   8    5    2    10   6       
Vardas126      Pavarde126     3    6    3    10   5    7       
Vardas127      Pavarde127     9    6    3    4    3    8       
Vardas128      Pavarde128     10   7    5    6    8    3       
Vardas129      Pavarde129     3    8    9    4    1    2       
Vardas130      Pavarde130     5    9    3    5    9    6       
Vardas131      Pavarde131     3    5    3    6    5    4       
Vardas132      Pavarde132     5    9    5    3    2    7       
Vardas133      Pavarde133     8    2    3    6    3    10      
Vardas134      Pavarde134     6    4    2    9    3    8       
Vardas135      Pavarde135     2    8    3    5    2    2       
Vardas136      Pavarde136     3    5    8    7    8    5       
Vardas137      Pavarde137     6    10   2    4    9    7       
Vardas138      Pavarde138     7    9    10   6    10   3       
Vardas139      Pavarde139     3    3    1    5    4    8       
Vardas140      Pavarde140     10   3    3    7    5    10      
Vardas141      Pavarde141     2    7    10   9    4    9       
Vardas142      Pavarde142     1    8    7    8    7    8       
Vardas143      Pavarde143     9    6    2    3    2    4       
Vardas144      Pavarde144     7    9    4    7    6    10      
Vardas145      Pavarde145     5    3    6    9    2    7       
Vardas146      Pavarde146     7    9    7    3    5    4       
Vardas147      Pavarde147     8    9    6    10   2    1       
Vardas148      Pavarde148     7    8    3    4    2    8       
Vardas149      Pavarde149     7    2    9    4    10   3       
Vardas150      Pavarde150     9    4    6    3    9    7       
Vardas151      Pavarde151     9    1    4    7    9    10      
Vardas152      Pavarde152     1    2    9    9    9    6       
Vardas153      Pavarde153     7    6    2    3    5    1       
Vardas154      Pavarde154     7    9    5    8    4    3       
Vardas155      Pavarde155     6    3    7    9    6    2       
Vardas156      Pavarde156     4    6    4    2    2    6       
Vardas157      Pavarde157     10   4    1    9    1    7       
Vardas158      Pavarde158     3    7    1    3    10   7       
Vardas159      Pavarde159     2    8    7    7    8    4       
Vardas160      Pavarde160     6    6    2    5    4    10      
Vardas161      Pavarde161     5    8    6    1    3    2       
Vardas162      Pavarde162     7    3    5    7    10   2       
Vardas163      Pavarde163     3    1    7    7    6    2       
Vardas164      Pavarde164     1    7    3    1    3    7       
Vardas165      Pavarde165     9    6    7    1    3    1       
Vardas166      Pavarde166     8    6    10   10   5    1       
Vardas167      Pavarde167     5    10   8    1    4    7       
Vardas168      Pavarde168     2    3    7    3    2    5       
Vardas169      Pavarde169     7    10   2    1    7    7       
Vardas170      Pavarde170     1    2    3    2    6    4       
Vardas171      Pavarde171     10   5    2    1    9    2       
Vardas172      Pavarde172     5    10   7    6    8    7       
Vardas173      Pavarde173     10   5    5    5    5    1       
Vardas174      Pavarde174     6    2    9    9    8    7       
Vardas175      Pavarde175     10   8    8    10   3    1       
Vardas176      Pavarde176     8    7    1    10   4    9       
Vardas177      Pavarde177     1    1    8    2    6    2       
Vardas178      Pavarde178     9    4    2    7    7    1       
Vardas179      Pavarde179     7    9    5    7    6    8       
Vardas180      Pavarde180     5    7    9    1    10   4       
Vardas181      Pavarde181     7    3    7    9    9    2       
Vardas182      Pavarde182     5    3    9    5    5    5       
Vardas183      Pavarde183     6    2    5    1    3    6       
Vardas184      Pavarde184     1    10   8    2    7    9       
Vardas185      Pavarde185     1    3    7    7    6    5       
Vardas186      Pavarde186     7    10   4    3    3    6       
Vardas187      Pavarde187     2    2    1    7    4    9       
Vardas188      Pavarde188     4    6    7    4    6    9       
Vardas189      Pavarde189     1    7    8    5    4    8       
Vardas190      Pavarde190     6    1    7    5    10   10      
Vardas191      Pavarde191     1    6    6    10   9    1       
Vardas192      Pavarde192     4    7    3    7    10   2       
Vardas193      Pavarde193     8    9    3    3    8    2       
Vardas194      Pavarde194     10   3    2    2    8    3       
Vardas195      Pavarde195     5    10   10   6    5    4       
Vardas196      Pavarde196     9    6    2    5    5    7       
Vardas197      Pavarde197     4    8    7    9    7    7       
Vardas198      Pavarde198     5    1    5    3    9    2       
Vardas199      Pavarde199     8    8    3    10   4    9       
Vardas200      Pavarde200     3    3    4    3    7    1       
Vardas201      Pavarde201     5    6    6    1    4    8       
Vardas202      Pavarde202     4    2    1    5    3    4       
Vardas203      Pavarde203     4    6    10   10   7    9       
Vardas204      Pavarde204     7    7    2    1    7    8       
Vardas205      Pavarde205     5    4    3    2    8    2       
Vardas206      Pavarde206     3    1    1    1    9    3       
Vardas207      Pavarde207     3    1    10   7    9    4       
Vardas208      Pavarde208     10   10   3    8    5    3       
Vardas209      Pavarde209     8    5    7    3    10   1       
Vardas210      Pavarde210     10   2    7    7    3    8       
Vardas211      Pavarde211     3    2    8    10   2    2       
Vardas212      Pavarde212     3    7    7    7    5    6       
Vardas213      Pavarde213     5    2    10   9    7    9       
Vardas214      Pavarde214     7    2    8    6    9    10      
Vardas215      Pavarde215     4    4    4    3    9    1       
Vardas216      Pavarde216     3    4    2    7    10   5       
Vardas217      Pavarde217     7    5    1    10   1    8       
Vardas218      Pavarde218     7    6    1    3    1    3       
Vardas219      Pavarde219     8    5    6    9    10   4       
Vardas220      Pavarde220     6    7    4    6    3    4       
Vardas221      Pavarde221     8    6    7    6    7    4       
Vardas222      Pavarde222     9    5    1    1    3    5       
Vardas223      Pavarde223     8    6    5    7    4    1       
Vardas224      Pavarde224     3    3    1    4    8    5       
Vardas225      Pavarde225     5    2    2    8    4    1       
Vardas226      Pavarde226     2    2    5    6    8    6       
Vardas227      Pavarde227     9    6    1    5    6    2       
Vardas228      Pavarde228     5    7    2    7    1    10      
Vardas229      Pavarde229     9    1    9    1    7    9       
Vardas230      Pavarde230     6    2    2    8    5    8       
Vardas231      Pavarde231     8    7    10   3    10   6       
Vardas232      Pavarde232     7    9    3    5    7    10      
Vardas233      Pavarde233     2    7    9    4    10   5       
Vardas234      Pavarde234     6    8    9    5    6    6       
Vardas235      Pavarde235     8    10   6    7    9    1       
Vardas236      Pavarde236     1    4    7    6    9    10      
Vardas237      Pavarde237     8    6    10   4    3    10      
Vardas238      Pavarde238     4    3    3    2    9    2       
Vardas239      Pavarde239     1    1    10   10   4    7       
Vardas240      Pavarde240     10   8    4    1    1    8       
Vardas241      Pavarde241     2    1    3    7    4    9       
Vardas242      Pavarde242     7    9    9    3    1    5       
Vardas243      Pavarde243     4    3    6    7    7    1       
Vardas244      Pavarde244     7    10   1    2    3    5       
Vardas245      Pavarde245     2    9    9    1    10   6       
Vardas246      Pavarde246     7    7    4    6    10   2       
Vardas247      Pavarde247     4    5    9    3    4    8       
Vardas248      Pavarde248     3    9    9    6    1    4       
Vardas249      Pavarde249     6    3    1    8    10   2       
Vardas250      Pavarde250     8    8    3    1    6    6       
Vardas251      Pavarde251     3    3    8    3    4    1       
Vardas252      Pavarde252     10   8    1    4    3    8       
Vardas253      Pavarde253     2    1    2    6    1    5       
Vardas254      Pavarde254     10   3    8    3    3    5       
Vardas255      Pavarde255     9    10   9    10   5    10      
Vardas256      Pavarde256     5    8    4    8    1    9       
Vardas257      Pavarde257     3    10   9    8    2    9       
Vardas258      Pavarde258     5    9    7    7    10   3       
Vardas259      Pavarde259     8    7    3    6    5    7       
Vardas260      Pavarde260     9    6    3    6    3    7       
Vardas261      Pavarde261     4    2    6    1    1    3       
Vardas262      Pavarde262     2    5    6    8    5    8       
Vardas263      Pavarde263     2    10   5    1    4    10      
Vardas264      Pavarde264     7    10   4    10   2    5       
Vardas265      Pavarde265     3    8    3    10   9    8       
Vardas266      Pavarde266     6    10   9    8    2    9       
Vardas267      Pavarde267     4    9    7    5    5    3       
Vardas268      Pavarde268     7    1    5    1    4    1       
Vardas269      Pavarde269     1    7    4    10   2    9       
Vardas270      Pavarde270     9    3    9    8    4    4       
Vardas271      Pavarde271     6    2    10   5    9    4       
Vardas272      Pavarde272     7    5    9    8    1    2       
Vardas273      Pavarde273     6    4    9    4    3    8       
Vardas274      Pavarde274     7    2    1    6    8    8       
Vardas275      Pavarde275     1    2    3    9    8    5       
Vardas276      Pavarde276     1    10   8    10   10   8       
Vardas277      Pavarde277     7    1    4    1    9    3       
Vardas278      Pavarde278     3    8    6    9    5    2       
Vardas279      Pavarde279     5    9    8    6    7    7       
Vardas280      Pavarde280     5    10   9    8    9    1       
Vardas281      Pavarde281     7    9    8    5    9    7       
Vardas282      Pavarde282     6    8    7    5    9    10      
Vardas283      Pavarde283     6    5    2    4    6    6       
Vardas284      Pavarde284     10   2    8    3    1    4       
Vardas285      Pavarde285     5    10   3    9    1    1       
Vardas286      Pavarde286     9    1    8    6    5    9       
Vardas287      Pavarde287     2    1    4    8    9    2       
Vardas288      Pavarde288     2    1    8    4    1    9       
Vardas289      Pavarde289     6    3    5    9    6    10      
Vardas290      Pavarde290     8    9    8    9    8    5       
Vardas291      Pavarde291     10   7    5    4    7    6       
Vardas292      Pavarde292     5    5    2    1    5    8       
Vardas293      Pavarde293     4    4    10   3    2    6       
Vardas294      Pavarde294     1    4    5    6    8    8       
Vardas295      Pavarde295     6    1    2    10   7    8       
Vardas296      Pavarde296     5    3    6    5    1    8       
Vardas297      Pavarde297     9    9    8    5    8    7       
Vardas298      Pavarde298     9    6    7    8    7    5       
Vardas299      Pavarde299     5    6    9    4    1    6       
Vardas300      Pavarde300     1    10   1    3    10   6       
Vardas301      Pavarde301     8    3    6    9    8    10      
Vardas302      Pavarde302     8    10   7    1    10   10      
Vardas303      Pavarde303     2    8    6    1    5    4       
Vardas304      Pavarde304     9    4    5    9    4    8       
Vardas305      Pavarde305     3    5    1    10   8    4       
Vardas306      Pavarde306     6    4    10   1    3    8       
Vardas307      Pavarde307     3    8    1    4    1    3       
Vardas308      Pavarde308     10   5    10   2    1    3       
Vardas309      Pavarde309     6    9    9    7    6    9       
Vardas310      Pavarde310     5    1    8    8    2    8       
Vardas311      Pavarde311     3    8    4    3    2    10      
Vardas312      Pavarde312     7    3    5    6    7    10      
Vardas313      Pavarde313     8    1    2    6    10   3       
Vardas314      Pavarde314     2    7    4    6    6    10      
Vardas315      Pavarde315     7    1    10   1    2    3       
Vardas316      Pavarde316     2    3    10   9    4    6       
Vardas317      Pavarde317     8    4    7    5    8    2       
Vardas318      Pavarde318     5    8    5    10   2    2       
Vardas319      Pavarde319     10   4    2    10   5    3       
Vardas320      Pavarde320     3    6    3    1    9    7       
Vardas321      Pavarde321     4    5    5    8    2    9       
Vardas322      Pavarde322     5    2    8    1    9    9       
Vardas323      Pavarde323     9    6    2    8    7    7       
Vardas324      Pavarde324     1    3    6    6    1    3       
Vardas325      Pavarde325     5    6    10   9    7    9       
Vardas326      Pavarde326     4    8    9    8    8    6       
Vardas327      Pavarde327     8    7    9    5    9    9       
Vardas328      Pavarde328     5    4    7    8    3    5       
Vardas329      Pavarde329     2    1    3    6    9    7       
Vardas330      Pavarde330     9    3    6    3    7    3       
Vardas331      Pavarde331     2    3    10   1    10   8       
Vardas332      Pavarde332     6    10   7    7    8    6       
Vardas333      Pavarde333     4    8    2    9    9    6       
Vardas334      Pavarde334     3    8    2    3    3    5       
Vardas335      Pavarde335     4    10   7    1    4    10      
Vardas336      Pavarde336     8    9    4    7    2    1       
Vardas337      Pavarde337     7    4    7    4    9    4       
Vardas338      Pavarde338     1    8    8    10   2    4       
Vardas339      Pavarde339     6    10   9    2    2    1       
Vardas340      Pavarde340     7    1    8    7    1    2       
Vardas341      Pavarde341     1    6    3    10   5    1       
Vardas342      Pavarde342     8    9    8    4    1    5       
Vardas343      Pavarde343     3    4    3    4    9    9       
Vardas344      Pavarde344     1    8    10   10   3    3       
Vardas345      Pavarde345     3    4    7    1    7    2       
Vardas346      Pavarde346     8    6    1    4    7    4       
Vardas347      Pavarde347     8    3    10   2    10   7       
Vardas348      Pavarde348     2    3    4    2    6    3       
Vardas349      Pavarde349     9    10   3    6    1    2       
Vardas350      Pavarde350     7    4    10   3    10   2       
Vardas351      Pavarde351     9    9    6    10   3    2       
Vardas352      Pavarde352     4    9    4    6    2    9       
Vardas353      Pavarde353     10   9    9    9    8    2       
Vardas354      Pavarde354     2    6    10   9    5    5       
Vardas355      Pavarde355     6    5    10   10   7    4       
Vardas356      Pavarde356     2    7    3    8    1    6       
Vardas357      Pavarde357     4    9    2    4    8    10      
Vardas358      Pavarde358     9    7    6    1    1    1       
Vardas359      Pavarde359     3    10   3    10   10   1       
Vardas360      Pavarde360     10   10   8    1    6    10      
Vardas361      Pavarde361     3    8    9    8    2    9       
Vardas362      Pavarde362     2    2    1    1    1    7       
Vardas363      Pavarde363     6    2    9    6    1    9       
Vardas364      Pavarde364     5    2    2    1    5    2       
Vardas365      Pavarde365     7    3    1    4    9    3       
Vardas366      Pavarde366     7    7    4    5    4    2       
Vardas367      Pavarde367     3    8    9    5    6    8       
Vardas368      Pavarde368     8    5    4    9    2    9       
Vardas369      Pavarde369     10   3    10   3    8    7       
Vardas370      Pavarde370     6    3    5    9    3    2       
Vardas371      Pavarde371     2    6    4    3    5    9       
Vardas372      Pavarde372     8    3    3    1    8    2       
Vardas373      Pavarde373     1    4    1    1    8    5       
Vardas374      Pavarde374     1    3    9    7    7    5       
Vardas375      Pavarde375     9    5    8    5    6    7       
Vardas376      Pavarde376     5    6    2    4    1    5       
Vardas377      Pavarde377     5    4    6    6    2    1       
Vardas378      Pavarde378     10   5    3    1    4    10      
Vardas379      Pavarde379     6    10   7    9    3    5       
Vardas380      Pavarde380     7    7    6    1    7    5       
Vardas381      Pavarde381     10   8    6    5    7    3       
Vardas382      Pavarde382     10   1    6    7    3    3       
Vardas383      Pavarde383     6    2    5    2    1    5       
Vardas384      Pavarde384     2    5    4    7    4    2       
Vardas385      Pavarde385     1    6    3    7    10   6       
Vardas386      Pavarde386     5    6    7    9    7    3       
Vardas387      Pavarde387     2    6    6    10   5    2       
Vardas388      Pavarde388     8    9    4    2    9    6       
Vardas389      Pavarde389     6    3    8    9    3    5       
Vardas390      Pavarde390     8    3    3    6    2    8       
Vardas391      Pavarde391     1    4    10   1    9    6       
Vardas392      Pavarde392     1    8    4    10   8    8       
Vardas393      Pavarde393     6    4    2    7    9    9       
Vardas394      Pavarde394     7    1    4    1    10   5       
Vardas395      Pavarde395     4    10   1    5    8    6       
Vardas396      Pavarde396     10   4    2    3    3    3       
Vardas397      Pavarde397     4    2    2    9    7    9       
Vardas398      Pavarde398     8    2    4    6    8    5       
Vardas399      Pavarde399     1    3    5    4    3    2       
Vardas400      Pavarde400     2    3    8    5    7    6       
Vardas401      Pavarde401     4    6    1    5    10   3       
Vardas402      Pavarde402     3    2    1    1    6    3       
Vardas403      Pavarde403     6    6    2    5    8    8       
Vardas404      Pavarde404     7    9    1    4    4    10      
Vardas405      Pavarde405     3    5    9    10   5    10      
Vardas406      Pavarde406     8    7    10   3    2    6       
Vardas407      Pavarde407     3    10   4    7    1    3       
Vardas408      Pavarde408     10   5    5    5    2    1       
Vardas409      Pavarde409     10   7    5    6    10   6       
Vardas410      Pavarde410     10   6    6    4    1    9       
Vardas411      Pavarde411     4    1    4    5    3    7       
Vardas412      Pavarde412     9    4    6    9    2    10      
Vardas413      Pavarde413     9    6    5    4    9    4       
Vardas414      Pavarde414     5    3    3    4    6    4       
Vardas415      Pavarde415     6    6    7    3    8    3       
Vardas416      Pavarde416     10   3    3    10   5    5       
Vardas417      Pavarde417     1    8    8    6    10   8       
Vardas418      Pavarde418     4    10   1    8    10   4       
Vardas419      Pavarde419     7    1    5    3    4    2       
Vardas420      Pavarde420     6    4    3    6    2    8       
Vardas421      Pavarde421     1    9    5    3    7    5       
Vardas422      Pavarde422     1    10   1    9    8    7       
Vardas423      Pavarde423     5    7    8    1    9    3       
Vardas424      Pavarde424     3    6    7    6    10   2       
Vardas425      Pavarde425     1    10   4    1    10   5       
Vardas426      Pavarde426     3    8    3    7    6    10      
Vardas427      Pavarde427     5    4    4    9    5    4       
Vardas428      Pavarde428     5    9    4    7    8    2       
Vardas429      Pavarde429     6    4    4    7    6    9       
Vardas430      Pavarde430     9    10   1    10   1    8       
Vardas431      Pavarde431     4    5    5    9    10   1       
Vardas432      Pavarde432     5    5    1    5    2    9       
Vardas433      Pavarde433     6    10   7    8    3    2       
Vardas434      Pavarde434     6    8    7    3    5    5       
Vardas435      Pavarde435     10   7    8    6    5    3       
Vardas436      Pavarde436     9    6    10   3    8    6       
Vardas437      Pavarde437     9    6    5    9    2    3       
Vardas438      Pavarde438     9    4    3    2    1    6       
Vardas439      Pavarde439     5    3    1    4    10   1       
Vardas440      Pavarde440     6    6    8    10   4    9       
Vardas441      Pavarde441     3    1    4    6    1    4       
Vardas442      Pavarde442     8    1    9    8    10   5       
Vardas443      Pavarde443     10   8    6    7    3    2       
Vardas444      Pavarde444     6    8    5    9    2    3       
Vardas445      Pavarde445     8    5    7    5    9    3       
Vardas446      Pavarde446     3    4    5    10   2    9       
Vardas447      Pavarde447     3    2    6    2    5    9       
Vardas448      Pavarde448     10   5    4    3    4    8       
Vardas449      Pavarde449     10   7    2    4    9    6       
Vardas450      Pavarde450     7    7    6    3    10   5       
Vardas451      Pavarde451     4    1    3    8    6    2       
Vardas452      Pavarde452     10   2    10   10   6    8       
Vardas453      Pavarde453     1    7    4    10   3    9       
Vardas454      Pavarde454     6    10   6    4    3    6       
