Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
___________________________________________________________________________________________________
Pavarde4031    Vardas4031     8    8    9    10   10   10     9.60                9.60                
Pavarde3194    Vardas3194     6    9    9    10   10   10     9.52                9.60                
Pavarde7524    Vardas7524     7    8    9    10   10   10     9.52                9.60                
Pavarde2326    Vardas2326     6    9    9    10   10   10     9.52                9.60                
Pavarde1817    Vardas1817     7    7    9    10   10   10     9.44                9.60                
Pavarde255     Vardas255      5    9    9    10   10   10     9.44                9.60                
Pavarde8863    Vardas8863     6    8    9    10   10   10     9.44                9.60                
Pavarde2479    Vardas2479     7    8    9    9    10   10     9.44                9.60                
Pavarde9929    Vardas9929     6    7    9    10   10   10     9.36                9.60                
Pavarde8743    Vardas8743     7    7    8    10   10   10     9.36                9.20                
Pavarde9780    Vardas9780     2    9    10   10   10   10     9.28                10.00               
Pavarde631     Vardas631      7    8    8    8    10   10     9.28                9.20                
Pavarde7036    Vardas7036     6    8    9    9    9    10     9.28                9.60                
Pavarde3452    Vardas3452     3    8    10   10   10   10     9.28                10.00               
Pavarde4545    Vardas4545     3    9    9    10   10   10     9.28                9.60                
Pavarde3541    Vardas3541     5    7    9    10   10   10     9.28                9.60                
Pavarde2972    Vardas2972     5    5    10   10   10   10     9.20                10.00               
Pavarde5946    Vardas5946     4    8    9    9    10   10     9.20                9.60                
Pavarde8582    Vardas8582     4    9    9    9    9    10     9.20                9.60                
Pavarde6044    Vardas6044     5    8    8    9    10   10     9.20                9.20                
Pavarde7147    Vardas7147     4    8    9    9    10   10     9.20                9.60                
Pavarde3042    Vardas3042     6    8    8    9    9    10     9.20                9.20                
Pavarde9148    Vardas9148     5    7    8    10   10   10     9.20                9.20                
Pavarde9740    Vardas9740     4    8    8    10   10   10     9.20                9.20                
Pavarde8040    Vardas8040     2    8    10   10   10   10     9.20                10.00               
Pavarde9024    Vardas9024     4    8    9    9    10   10     9.20                9.60                
Pavarde7298    Vardas7298     7    7    7    9    10   10     9.20                8.80                
Pavarde16      Vardas16       8    9    10   10   10   9      9.16                9.40                
Pavarde9408    Vardas9408     6    6    7    10   10   10     9.12                8.80                
Pavarde6937    Vardas6937     5    6    9    9    10   10     9.12                9.60                
Pavarde2263    Vardas2263     5    7    8    9    10   10     9.12                9.20                
Pavarde8179    Vardas8179     5    6    8    10   10   10     9.12                9.20                
Pavarde7816    Vardas7816     5    6    8    10   10   10     9.12                9.20                
Pavarde4044    Vardas4044     6    8    8    8    9    10     9.12                9.20                
Pavarde1361    Vardas1361     6    6    8    9    10   10     9.12                9.20                
Pavarde8587    Vardas8587     5    6    9    9    10   10     9.12                9.60                
Pavarde4929    Vardas4929     6    7    7    9    10   10     9.12                8.80                
Pavarde6214    Vardas6214     7    7    8    8    9    10     9.12                9.20                
Pavarde9409    Vardas9409     4    7    9    9    10   10     9.12                9.60                
Pavarde7515    Vardas7515     4    8    9    9    9    10     9.12                9.60                
Pavarde953     Vardas953      3    8    9    9    10   10     9.12                9.60                
Pavarde3057    Vardas3057     6    6    7    10   10   10     9.12                8.80                
Pavarde3525    Vardas3525     5    8    8    9    9    10     9.12                9.20                
Pavarde2163    Vardas2163     6    7    8    9    9    10     9.12                9.20                
Pavarde2039    Vardas2039     5    8    8    8    10   10     9.12                9.20                
Pavarde9783    Vardas9783     5    6    9    9    10   10     9.12                9.60                
Pavarde9861    Vardas9861     3    8    8    10   10   10     9.12                9.20                
Pavarde9275    Vardas9275     2    8    9    10   10   10     9.12                9.60                
Pavarde9320    Vardas9320     5    6    8    10   10   10     9.12                9.20                
Pavarde2497    Vardas2497     4    8    8    9    10   10     9.12                9.20                
Pavarde7170    Vardas7170     1    8    10   10   10   10     9.12                10.00               
Pavarde5712    Vardas5712     1    9    9    10   10   10     9.12                9.60                
Pavarde7569    Vardas7569     8    9    9    10   10   9      9.08                9.00                
Pavarde3251    Vardas3251     4    6    9    9    10   10     9.04                9.60                
Pavarde7003    Vardas7003     6    7    7    8    10   10     9.04                8.80                
Pavarde8387    Vardas8387     4    6    8    10   10   10     9.04                9.20                
Pavarde7020    Vardas7020     5    6    7    10   10   10     9.04                8.80                
Pavarde2054    Vardas2054     4    7    8    9    10   10     9.04                9.20                
Pavarde1263    Vardas1263     2    7    9    10   10   10     9.04                9.60                
Pavarde6350    Vardas6350     4    8    8    8    10   10     9.04                9.20                
